timestamp_pc;tempo_s;rpm_bruto;rpm_calibrado;freq_hz
14:35:15.389582;14.48;1246.41;1241.50;48.00
14:35:15.590600;14.68;1431.68;1426.04;49.62
14:35:15.790014;14.88;1431.68;1426.04;51.12
14:35:15.989691;15.08;1431.68;1426.04;51.12
14:35:16.189750;15.28;1618.36;1611.98;51.12
14:35:16.389826;15.48;1618.36;1611.98;51.12
14:35:16.590019;15.68;1804.34;1797.23;51.12
14:35:16.789441;15.88;1804.34;1797.23;64.87
14:35:16.990144;16.08;1804.34;1797.23;66.50
14:35:17.189675;16.28;1989.96;1982.12;69.62
14:35:17.390050;16.48;1989.96;1982.12;72.62
14:35:17.590042;16.68;2174.53;2165.96;74.25
14:35:17.790215;16.88;2174.53;2165.96;75.00
14:35:17.989605;17.08;2174.53;2165.96;75.00
14:35:18.190072;17.28;2252.58;2243.70;75.00
14:35:18.390075;17.48;2252.58;2243.70;75.00
14:35:18.590362;17.68;2253.87;2244.99;75.00
14:35:18.789962;17.88;2253.87;2244.99;75.00
14:35:18.990261;18.08;2253.87;2244.99;75.00
14:35:19.189660;18.28;2254.22;2245.34;75.00
14:35:19.390247;18.48;2254.22;2245.34;75.00
14:35:19.590369;18.68;2254.92;2246.04;75.00
14:35:19.790193;18.88;2254.92;2246.04;75.00
14:35:19.990198;19.08;2254.92;2246.04;75.00
14:35:20.189724;19.28;2253.98;2245.10;75.00
14:35:20.390193;19.48;2253.98;2245.10;75.00
14:35:20.590118;19.68;2253.63;2244.75;75.00
14:35:20.790057;19.88;2253.63;2244.75;75.00
14:35:20.990509;20.08;2253.63;2244.75;75.00
14:35:21.189987;20.28;2256.68;2247.79;75.00
14:35:21.390187;20.48;2256.68;2247.79;75.00
14:35:21.590145;20.68;2257.03;2248.14;75.00
14:35:21.790221;20.88;2257.03;2248.14;75.00
14:35:21.989827;21.08;2257.03;2248.14;75.00
14:35:22.190436;21.28;2256.33;2247.44;75.00
14:35:22.390352;21.48;2256.33;2247.44;75.00
14:35:22.590198;21.68;2254.92;2246.04;75.00
14:35:22.790284;21.88;2254.92;2246.04;75.00
14:35:22.990235;22.08;2254.92;2246.04;75.00
