timestamp_pc;tempo_s;rpm_bruto;rpm_calibrado;freq_hz
14:33:23.571001;15.68;1805.39;1798.28;60.00
14:33:23.770636;15.88;1805.39;1798.28;60.00
14:33:23.970350;16.08;1805.39;1798.28;60.00
14:33:24.171112;16.28;1805.04;1797.93;60.00
14:33:24.371081;16.48;1805.04;1797.93;60.00
14:33:24.570916;16.68;1805.16;1798.04;60.00
14:33:24.771116;16.88;1805.16;1798.04;60.00
14:33:24.971157;17.08;1805.16;1798.04;60.00
14:33:25.171232;17.28;1804.22;1797.11;60.00
14:33:25.371157;17.48;1804.22;1797.11;60.00
14:33:25.571417;17.68;1803.63;1796.53;60.00
14:33:25.771167;17.88;1803.63;1796.53;60.00
14:33:25.970379;18.08;1803.63;1796.53;60.00
14:33:26.171281;18.28;1805.39;1798.28;60.00
14:33:26.370719;18.48;1805.39;1798.28;60.00
14:33:26.571100;18.68;1805.98;1798.86;60.00
14:33:26.771079;18.88;1805.98;1798.86;60.00
14:33:26.971169;19.08;1805.98;1798.86;60.00
14:33:27.171294;19.28;1802.70;1795.59;60.00
14:33:27.371200;19.48;1802.70;1795.59;60.00
14:33:27.571053;19.68;1804.22;1797.11;60.00
14:33:27.771328;19.88;1804.22;1797.11;60.00
14:33:27.970437;20.08;1804.22;1797.11;60.00
14:33:28.171223;20.28;1803.98;1796.88;60.00
14:33:28.370506;20.48;1803.98;1796.88;60.00
14:33:28.570930;20.68;1803.52;1796.41;60.00
14:33:28.771264;20.88;1803.52;1796.41;60.00
14:33:28.971055;21.08;1803.52;1796.41;60.00
14:33:29.171166;21.28;1803.63;1796.53;60.00
14:33:29.371044;21.48;1803.63;1796.53;60.00
14:33:29.571302;21.68;1802.58;1795.48;60.00
14:33:29.771320;21.88;1802.58;1795.48;60.00
14:33:29.971367;22.08;1802.58;1795.48;60.00
14:33:30.171343;22.28;1802.58;1795.48;60.00
14:33:30.370550;22.48;1802.58;1795.48;60.00
14:33:30.571271;22.68;1801.41;1794.31;60.00
14:33:30.771420;22.88;1801.41;1794.31;60.00
14:33:30.970991;23.08;1801.41;1794.31;60.00
14:33:31.171291;23.28;1801.88;1794.78;60.00
14:33:31.371366;23.48;1801.88;1794.78;60.00
14:33:31.571361;23.68;1802.58;1795.48;60.00
14:33:31.771534;23.88;1802.58;1795.48;60.00
14:33:31.971133;24.08;1802.58;1795.48;60.00
14:33:32.171356;24.28;1803.28;1796.18;60.00
14:33:32.371400;24.48;1803.28;1796.18;60.00
14:33:32.571540;24.68;1802.70;1795.59;60.00
14:33:32.771410;24.88;1802.70;1795.59;60.00
14:33:32.971294;25.08;1802.70;1795.59;60.00
14:33:33.171365;25.28;1803.98;1796.88;60.00
14:33:33.370632;25.48;1803.98;1796.88;60.00
14:33:33.571449;25.68;1804.80;1797.69;60.00
14:33:33.771312;25.88;1804.80;1797.69;60.00
14:33:33.971488;26.08;1804.80;1797.69;60.00
14:33:34.171447;26.28;1805.74;1798.63;60.00
14:33:34.371621;26.48;1805.74;1798.63;60.00
14:33:34.571396;26.68;1804.92;1797.81;60.00
14:33:34.771441;26.88;1804.92;1797.81;60.00
14:33:34.971260;27.08;1804.92;1797.81;60.00
14:33:35.171524;27.28;1803.98;1796.88;60.00
14:33:35.371657;27.48;1803.98;1796.88;60.00
14:33:35.571272;27.68;1804.22;1797.11;60.00
14:33:35.771543;27.88;1804.22;1797.11;60.00
14:33:35.970658;28.08;1804.22;1797.11;60.00
14:33:36.171328;28.28;1806.09;1798.98;60.00
14:33:36.371481;28.48;1806.09;1798.98;60.00
14:33:36.571583;28.68;1803.52;1796.41;60.00
14:33:36.825392;28.88;1803.52;1796.41;60.00
14:33:36.971553;29.08;1803.52;1796.41;60.00
14:33:37.171332;29.28;1803.16;1796.06;60.00
14:33:37.371473;29.48;1803.16;1796.06;60.00
14:33:37.571583;29.68;1803.87;1796.76;60.00
14:33:37.771613;29.88;1803.87;1796.76;60.00
14:33:37.971457;30.08;1803.87;1796.76;60.00
14:33:38.171543;30.28;1803.05;1795.94;60.00
14:33:38.371676;30.48;1803.05;1795.94;60.00
14:33:38.571537;30.68;1804.34;1797.23;60.00
14:33:38.771410;30.88;1804.34;1797.23;60.00
14:33:38.971529;31.08;1804.34;1797.23;60.00
14:33:39.171591;31.28;1803.40;1796.29;60.00
14:33:39.371274;31.48;1803.40;1796.29;60.00
14:33:39.571553;31.68;1803.05;1795.94;60.00
14:33:39.771510;31.88;1803.05;1795.94;60.00
14:33:39.971165;32.08;1803.05;1795.94;60.00
14:33:40.171705;32.28;1802.11;1795.01;60.00
14:33:40.371591;32.48;1802.11;1795.01;60.00
14:33:40.571512;32.68;1801.52;1794.43;60.00
14:33:40.771741;32.88;1801.52;1794.43;60.00
14:33:40.971701;33.08;1801.52;1794.43;60.00
14:33:41.171577;33.28;1801.99;1794.89;60.00
14:33:41.371485;33.48;1801.99;1794.89;60.00
14:33:41.571606;33.68;1802.34;1795.24;60.00
14:33:41.771243;33.88;1802.34;1795.24;60.00
14:33:41.971494;34.08;1802.34;1795.24;60.00
14:33:42.171759;34.28;1802.70;1795.59;60.00
14:33:42.371904;34.48;1802.70;1795.59;60.00
